date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2005-04-08,sz.399300,984.665,1003.699,979.529,1003.445,984.733,1476252600,9151349808.0,3,0.014011,1,1.900214,0.0,0.0,0.0,0.0,0
2005-04-11,sz.399300,1003.879,1008.735,992.773,995.421,1003.445,1593606600,10436232248.0,3,0.015125,1,-0.799644,0.0,0.0,0.0,0.0,0
2005-04-12,sz.399300,993.711,993.711,978.204,978.697,995.421,1022619300,6479563495.0,3,0.009705,1,-1.680093,0.0,0.0,0.0,0.0,0
2005-04-13,sz.399300,987.95,1006.499,987.95,1000.9,978.697,1607168700,10029602129.0,3,0.015239,1,2.268629,0.0,0.0,0.0,0.0,0
2005-04-14,sz.399300,1004.64,1006.416,985.578,986.975,1000.9,1294571000,7813424514.0,3,0.012275,1,-1.391253,0.0,0.0,0.0,0.0,0
2005-04-15,sz.399300,982.613,982.613,971.93,974.082,986.975,1040895500,6541675456.0,3,0.00987,1,-1.306315,0.0,0.0,0.0,0.0,0
2005-04-18,sz.399300,970.907,970.907,958.649,963.772,974.082,859840000,5329138712.0,3,0.008128,1,-1.058432,0.0,0.0,0.0,0.0,0
2005-04-19,sz.399300,962.916,968.867,957.91,965.886,963.772,921262300,5768907755.0,3,0.008709,1,0.219348,0.0,0.0,0.0,0.0,0
2005-04-20,sz.399300,964.151,964.151,946.197,950.867,965.886,885070500,5300003714.0,3,0.008366,1,-1.554944,0.0,0.0,0.0,0.0,0
2005-04-21,sz.399300,948.861,955.553,938.595,943.981,950.867,994614500,6140646108.0,3,0.009255,1,-0.72418,0.0,0.0,0.0,0.0,0
2005-04-22,sz.399300,942.908,947.909,934.957,939.101,943.981,1069188400,6373550345.0,3,0.009948,1,-0.51696,0.0,0.0,0.0,0.0,0
2005-04-25,sz.399300,935.993,935.993,920.162,930.07,939.101,1147047800,6667303132.0,3,0.010643,1,-0.961665,0.0,0.0,0.0,0.0,0
2005-04-26,sz.399300,928.428,939.696,924.655,937.083,930.07,1169047100,7029373085.0,3,0.010847,1,0.754029,0.0,0.0,0.0,0.0,0
2005-04-27,sz.399300,938.57,938.91,925.896,926.604,937.083,1078061100,6432845906.0,3,0.009991,1,-1.118258,0.0,0.0,0.0,0.0,0
2005-04-28,sz.399300,923.529,945.504,914.829,942.073,926.604,1434348600,8315813742.0,3,0.013293,1,1.669429,0.0,0.0,0.0,0.0,0
2005-04-29,sz.399300,940.806,942.453,929.81,932.395,942.073,1123541900,6853192443.0,3,0.010378,1,-1.027307,0.0,0.0,0.0,0.0,0
