date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2014-12-31,sz.399437,10501.8,11094.05,10376.76,10690.12,0.0,4026751664.0,94767812608.0,3,0.058478,1,0.0,,,,,0
2015-01-05,sz.399437,10717.2,10842.96,10330.77,10694.29,10690.12,3625275136.0,85466333184.0,3,0.051246,1,0.038934,,,,,0
2015-01-06,sz.399437,10481.27,10804.35,10310.66,10590.07,10694.29,3277536784.0,77779210240.0,3,0.04633,1,-0.974527,,,,,0
2015-01-07,sz.399437,10558.07,11268.66,10542.02,10907.13,10590.07,3915971840.0,95892967424.0,3,0.055355,1,2.993998,,,,,0
2015-01-08,sz.399437,10932.25,10980.89,10408.86,10516.98,10907.13,2985435920.0,72254791680.0,3,0.042201,1,-3.577083,,,,,0
2015-01-09,sz.399437,10470.75,10958.16,10399.96,10460.42,10516.98,3323450336.0,80700526592.0,3,0.046979,1,-0.537765,,,,,0
2015-01-12,sz.399437,10477.96,10643.17,10146.79,10252.18,10460.42,2816161040.0,67891364864.0,3,0.039808,1,-1.990707,,,,,0
2015-01-13,sz.399437,10204.36,10285.43,9881.037,9940.049,10252.18,2251960048.0,53329915136.0,3,0.031833,1,-3.044559,,,,,0
2015-01-14,sz.399437,9966.529,10155.27,9916.907,10088.93,9940.049,1915847296.0,45802541824.0,3,0.027082,1,1.497749,,,,,0
2015-01-15,sz.399437,10063.19,10436.28,9913.163,10417.41,10088.93,2799523648.0,67270095872.0,3,0.039573,1,3.255929,,,,,0
2015-01-16,sz.399437,10454.79,10480.49,10176.16,10316.21,10417.41,2345524784.0,56100587776.0,3,0.033156,1,-0.971518,,,,,0
2015-01-19,sz.399437,9336.033,9357.255,9335.44,9335.44,10316.21,1212301200.0,20630217472.0,3,0.017137,1,-9.507047,,,,,0
2015-01-20,sz.399437,8652.474,8941.542,8550.871,8685.957,9335.44,4556787712.0,93435629568.0,3,0.064413,1,-6.95718,,,,,0
2015-01-21,sz.399437,8844.922,9410.608,8819.551,9331.071,8685.957,3975132064.0,82479423488.0,3,0.056191,1,7.427095,,,,,0
2015-01-22,sz.399437,9355.878,9418.518,9189.27,9402.051,9331.071,2422806656.0,51575832320.0,3,0.034248,1,0.760679,,,,,0
2015-01-23,sz.399437,9486.631,9902.26,9486.631,9581.266,9402.051,2948697680.0,64370973696.0,3,0.041682,1,1.906125,,,,,0
2015-01-26,sz.399437,9695.796,9762.31,9535.722,9619.787,9581.266,3025401248.0,61942459648.0,3,0.042926,1,0.40205,,,,,0
2015-01-27,sz.399437,9585.893,9661.312,9275.021,9465.198,9619.787,2683551952.0,55074778624.0,3,0.038076,1,-1.606989,,,,,0
