date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sh.600570,4.57315746,4.8172917,4.57315746,4.6429101,4.57969677,5998280,129018361.0,2,1.346306,1,1.3803,53.838549,14.140126,63.016681,13.11554,0
2010-01-05,sh.600570,4.67342688,4.9262802,4.5993147,4.91974089,4.6429101,9119896,199252556.0,2,2.046949,1,5.9624,57.048641,14.983223,66.774014,13.897546,0
2010-01-06,sh.600570,4.93499928,5.00911146,4.795494,4.9044825,4.91974089,3931064,88440551.0,2,0.882322,1,-0.3101,56.871707,14.936753,66.566917,13.854444,0
2010-01-07,sh.600570,4.90012296,4.90012296,4.69086504,4.77151653,4.9044825,5674626,123622157.0,2,1.273663,1,-2.7111,55.329852,14.531801,64.762214,13.478834,0
2010-01-08,sh.600570,4.7518986,4.81511193,4.63201125,4.76061768,4.77151653,5495096,119562538.0,2,1.233367,1,-0.2284,55.20347,14.498608,64.614287,13.448047,0
2010-01-11,sh.600570,5.13335835,5.14861674,4.78459515,4.90884204,4.76061768,15762013,358165882.0,2,3.537764,1,3.1136,56.92226,14.95003,66.626087,13.866759,0
2010-01-12,sh.600570,4.84998825,4.96333629,4.577517,4.72356159,4.90884204,12236129,266869702.0,2,2.746384,1,-3.7744,54.773773,14.385753,64.111337,13.343369,0
2010-01-13,sh.600570,4.577517,4.8608871,4.5339216,4.79985354,4.72356159,9482500,204790861.0,2,2.128335,1,1.6151,55.658444,14.618102,65.146823,13.558882,0
2010-01-14,sh.600570,4.795494,5.00693169,4.7301009,4.92410043,4.79985354,12879011,289435119.0,2,2.890678,1,2.5886,57.099194,14.9965,66.833184,13.909861,0
2010-01-15,sh.600570,4.91538135,5.2532457,4.91538135,5.17695375,4.92410043,12676649,298896113.0,2,2.845258,1,5.135,60.031246,15.766573,70.265079,14.624135,0
2010-01-18,sh.600570,5.1878526,5.22926823,5.013471,5.15733582,5.17695375,4301513,101597790.0,2,0.965469,1,-0.3789,59.80376,15.706826,69.998811,14.568717,0
2010-01-19,sh.600570,5.1660549,5.25106593,5.04180801,5.19657168,5.15733582,6308202,149182954.0,2,1.415868,1,0.7608,60.258733,15.82632,70.531346,14.679553,0
2010-01-20,sh.600570,5.1878526,5.1878526,4.86960618,4.9262802,5.19657168,3678688,84510876.0,2,0.825677,1,-5.2013,57.12447,15.003139,66.86277,13.916019,0
2010-01-21,sh.600570,4.80203331,4.98077445,4.80203331,4.9044825,4.9262802,3601890,81248246.0,2,0.80844,1,-0.4425,56.871707,14.936753,66.566917,13.854444,0
2010-01-22,sh.600570,4.8172917,4.89358365,4.53610137,4.69740435,4.9044825,3892359,83660548.0,2,0.873635,1,-4.2222,54.470457,14.30609,63.756314,13.269478,0
2010-01-25,sh.600570,4.7083032,4.74535929,4.5993147,4.69522458,4.69740435,2458457,52887067.0,2,0.551798,1,-0.0464,54.445181,14.299452,63.726728,13.263321,0
2010-01-26,sh.600570,4.66906734,4.7083032,4.32248391,4.35954,4.69522458,3619744,73783331.0,2,0.812447,1,-7.1495,50.552629,13.277114,59.170593,12.315061,0
2010-01-27,sh.600570,4.4031354,4.5557193,4.22003472,4.4903262,4.35954,5470316,110763419.0,2,1.227806,1,3.0,52.069207,13.675427,60.94571,12.684513,0
2010-01-28,sh.600570,4.4685285,4.795494,4.4685285,4.71920205,4.4903262,3314448,71322103.0,2,0.743924,1,5.0971,54.72322,14.372476,64.052167,13.331054,0
2010-01-29,sh.600570,4.7083032,4.79985354,4.61457309,4.71920205,4.71920205,6654295,144433487.0,2,1.493548,1,0.0,54.72322,14.372476,64.052167,13.331054,0
2010-02-01,sh.600570,4.71920205,4.76715699,4.57969677,4.71484251,4.71920205,1842512,39599980.0,2,0.41355,1,-0.0924,54.672668,14.359199,63.992996,13.318739,0
2010-02-02,sh.600570,4.71484251,4.9262802,4.65598872,4.84126917,4.71484251,4753859,106027266.0,2,1.066998,1,2.6815,56.138694,14.744235,65.708943,13.675875,0
2010-02-03,sh.600570,4.80203331,4.89358365,4.5557193,4.83690963,4.84126917,3121974,68343526.0,2,0.700723,1,-0.09,56.088141,14.730958,65.649773,13.66356,0
2010-02-04,sh.600570,4.82601078,4.8390894,4.64726964,4.76279745,4.83690963,1901909,41440051.0,2,0.426881,1,-1.5322,55.228747,14.505247,64.643873,13.454204,0
2010-02-05,sh.600570,4.5993147,4.7083032,4.47942735,4.49686551,4.76279745,1628190,34120709.0,2,0.365445,1,-5.5835,52.145036,13.695343,61.034466,12.702985,0
2010-02-08,sh.600570,4.49686551,4.49686551,4.49686551,4.49686551,4.49686551,0,0.0,2,,0,0.0,52.145036,13.695343,61.034466,12.702985,0
2010-02-09,sh.600570,4.4467308,4.58841585,4.3813377,4.49904528,4.49686551,1811595,37433084.0,2,0.40661,1,0.0485,52.170313,13.701981,61.064052,12.709143,0
2010-02-10,sh.600570,4.51430367,4.63855056,4.35954,4.63419102,4.49904528,5025807,104187594.0,2,1.128036,1,3.0039,53.737444,14.113572,62.89834,13.09091,0
2010-02-11,sh.600570,4.62983148,4.6865055,4.55353953,4.67560665,4.63419102,1120779,23817336.0,2,0.251557,1,0.8937,54.217694,14.239705,63.460461,13.207903,0
2010-02-12,sh.600570,4.68214596,4.76061768,4.61239332,4.74753906,4.67560665,1140472,24619900.0,2,0.255978,1,1.5385,55.051813,14.458777,64.436775,13.411101,0
2010-02-22,sh.600570,4.74753906,4.87178595,4.6429101,4.81511193,4.74753906,1384722,30318386.0,2,0.310799,1,1.4233,55.835378,14.664572,65.35392,13.601985,0
2010-02-23,sh.600570,4.8172917,4.8172917,4.6429101,4.7301009,4.81511193,1194411,25721036.0,2,0.268084,1,-1.7655,54.849602,14.405668,64.200093,13.361841,0
2010-02-24,sh.600570,4.72138182,4.89358365,4.64726964,4.88704434,4.7301009,1776968,39157891.0,2,0.398838,1,3.318,56.669497,14.883645,66.330234,13.805183,0
2010-02-25,sh.600570,4.8608871,4.9916733,4.84344894,4.96769583,4.88704434,1761580,39608279.0,2,0.395384,1,1.6503,57.60472,15.129271,67.42489,14.033012,0
